Name,oldest_sequence,newest_sequence,number_taxa
UK399,2020-08-10,2020-08-26,25
UK1195,2020-04-17,2020-08-30,323
UK407,2020-08-11,2020-08-30,21
UK312,2020-07-21,2020-08-27,125
UK511,2020-07-24,2020-08-13,7
UK800,2020-07-15,2020-08-30,54
UK1535,2020-03-18,2020-08-26,308
UK1186,2020-08-03,2020-08-30,106
UK254,2020-08-03,2020-08-26,41
UK1151,2020-08-05,2020-08-25,36
UK678,2020-03-21,2020-08-14,83
UK510,2020-07-18,2020-08-26,68
UK2104,2020-05-11,2020-08-13,2
UK1211,2020-06-01,2020-08-29,198
UK2082,2020-03-14,2020-08-11,5
UK1076,2020-03-20,2020-08-22,111
UK5,2020-03-01,2020-08-29,6140
UK698,2020-03-25,2020-08-26,214
UK1855,2020-04-20,2020-08-26,424
UK529,2020-08-06,2020-08-21,10
UK1683,2020-03-25,2020-08-21,411
UK1152,2020-07-16,2020-08-21,80
UK1328,2020-08-02,2020-08-02,1
UK528,2020-07-22,2020-08-26,49
UK1271,2020-04-08,2020-08-26,642
UK1850,2020-06-15,2020-08-07,34
UK1644,2020-06-09,2020-07-21,36
UK1205,2020-03-04,2020-08-21,587
UK109,2020-03-14,2020-08-18,511
UK597,2020-04-06,2020-08-21,41
UK2200,2020-03-17,2020-08-26,90
UK108,2020-04-22,2020-07-16,18
UK1479,2020-06-09,2020-08-17,26
UK1037,2020-03-25,2020-08-18,241
UK1951,2020-03-12,2020-08-20,918
UK1212,2020-03-23,2020-07-04,46
UK1323,2020-03-21,2020-08-19,72
UK1684,2020-03-21,2020-07-04,108
UK199,2020-03-10,2020-08-26,356
UK2068,2020-03-31,2020-08-18,373
UK2094,2020-03-31,2020-06-24,13
UK1145,2020-03-24,2020-08-26,299
UK1051,2020-03-30,2020-07-25,50
UK1577,2020-04-27,2020-06-30,17
UK1575,2020-05-07,2020-06-23,2
UK1375,2020-06-08,2020-06-25,16
UK1586,2020-04-08,2020-06-22,5
UK175,2020-03-03,2020-08-21,761
UK1126,2020-03-22,2020-08-17,101
UK2913,2020-03-11,2020-07-15,294
UK1278,2020-03-23,2020-07-27,154
UK718,2020-06-22,2020-08-26,47
UK826,2020-06-12,2020-08-21,10
UK1061,2020-06-02,2020-08-20,28
UK1264,2020-04-01,2020-07-02,20
UK1153,2020-03-18,2020-08-21,229
UK1968,2020-04-19,2020-06-29,15
UK2916,2020-02-27,2020-07-17,192
UK1830,2020-06-02,2020-07-02,9
UK1163,2020-04-23,2020-07-14,17
UK945,2020-03-17,2020-08-30,188
UK1570,2020-04-05,2020-06-23,10
UK1060,2020-03-10,2020-08-14,91
UK1280,2020-06-26,2020-06-26,1
UK2041,2020-06-24,2020-06-24,1
UK1134,2020-05-20,2020-08-06,32
UK1820,2020-06-22,2020-06-22,1
UK1300,2020-06-09,2020-07-02,12
UK1397,2020-06-14,2020-06-21,2
UK1816,2020-04-10,2020-06-24,2
UK1119,2020-04-04,2020-07-16,39
UK630,2020-06-10,2020-07-03,14
UK348,2020-05-13,2020-08-19,30
UK1893,2020-05-24,2020-08-17,7
UK1904,2020-05-05,2020-08-18,61
UK461,2020-08-02,2020-08-26,69
UK741,2020-06-27,2020-08-21,23
UK1455,2020-08-04,2020-08-19,22
UK847,2020-04-06,2020-08-29,107
UK1097,2020-07-06,2020-08-26,23
UK369,2020-06-12,2020-08-21,53
UK352,2020-07-05,2020-08-26,46
UK2022,2020-06-09,2020-08-27,105
UK1769,2020-06-12,2020-08-18,28
UK331,2020-07-02,2020-08-21,15
UK1208,2020-08-17,2020-08-21,4
UK1709,2020-08-07,2020-08-26,26
UK1029,2020-06-12,2020-08-09,20
UK719,2020-03-20,2020-08-20,77
UK1269,2020-06-21,2020-08-26,6
UK1790,2020-06-11,2020-08-21,14
UK2067,2020-04-26,2020-08-21,3
UK1792,2020-08-07,2020-08-21,8
UK1125,2020-08-21,2020-08-21,1
UK1690,2020-08-20,2020-08-20,1
UK1317,2020-04-08,2020-08-21,16
UK1330,2020-04-27,2020-08-21,4
UK2092,2020-06-13,2020-08-09,4
UK1528,2020-07-20,2020-08-20,14
UK733,2020-08-10,2020-08-19,5
UK1491,2020-08-17,2020-08-21,2
UK689,2020-07-15,2020-08-21,7
UK501,2020-03-12,2020-08-20,42
UK1247,2020-08-05,2020-08-21,9
UK191,2020-03-23,2020-08-21,38
UK2008,2020-08-20,2020-08-20,2
UK560,2020-08-09,2020-08-18,4
UK363,2020-08-20,2020-08-20,1
UK1583,2020-08-09,2020-08-18,7
UK514,2020-07-06,2020-08-20,2
UK611,2020-08-18,2020-08-20,2
UK1452,2020-08-05,2020-08-20,3
UK2136,2020-06-21,2020-08-10,2
UK924,2020-08-19,2020-08-29,4
UK484,2020-08-21,2020-08-21,1
UK1161,2020-07-06,2020-08-21,11
UK2089,2020-08-17,2020-08-20,2
UK1543,2020-08-29,2020-08-29,1
UK2118,2020-06-23,2020-08-26,2
UK1225,2020-04-28,2020-08-21,44
UK553,2020-08-09,2020-08-09,1
UK872,2020-08-09,2020-08-20,2
UK1007,2020-07-16,2020-08-20,3
UK1930,2020-08-20,2020-08-20,1
UK1710,2020-08-20,2020-08-20,1
UK1233,2020-03-23,2020-08-26,19
UK1584,2020-08-09,2020-08-09,1
UK1756,2020-08-26,2020-08-26,1
UK798,2020-08-30,2020-08-30,1
UK1050,2020-04-05,2020-08-26,3
UK967,2020-07-14,2020-08-20,11
UK1994,2020-04-14,2020-08-17,5
UK1645,2020-08-10,2020-08-21,2
UK1891,2020-07-21,2020-08-09,3
UK1883,2020-08-26,2020-08-26,1
UK780,2020-07-05,2020-08-20,14
UK650,2020-05-24,2020-08-29,6
UK1942,2020-04-05,2020-08-18,13
UK600,2020-03-01,2020-06-21,68
UK1218,2020-06-10,2020-07-22,33
UK1619,2020-06-10,2020-07-24,20
UK2464,2020-03-12,2020-06-29,242
UK1926,2020-04-20,2020-07-01,16
UK5501,2020-04-11,2020-06-24,22
UK1817,2020-04-04,2020-06-23,9
UK696,2020-06-11,2020-06-23,8
UK792,2020-06-19,2020-07-24,3
UK712,2020-06-17,2020-06-21,2
UK1065,2020-06-02,2020-07-22,87
UK2134,2020-04-13,2020-07-16,4
UK699,2020-03-16,2020-06-30,16
UK1844,2020-03-24,2020-08-18,7
UK1213,2020-06-08,2020-07-27,21
UK1200,2020-04-07,2020-06-24,4
UK1847,2020-07-21,2020-08-18,2
UK1675,2020-08-18,2020-08-18,3
UK406,2020-08-10,2020-08-21,11
UK395,2020-08-11,2020-08-17,2
UK1827,2020-07-16,2020-08-18,7
UK769,2020-08-15,2020-08-16,4
UK541,2020-08-12,2020-08-17,4
UK488,2020-08-17,2020-08-18,4
UK948,2020-08-18,2020-08-18,1
UK1406,2020-08-18,2020-08-18,1
UK404,2020-08-17,2020-08-17,1
UK470,2020-08-11,2020-08-16,3
UK1927,2020-03-29,2020-08-17,4
UK489,2020-08-18,2020-08-18,2
UK1090,2020-07-14,2020-08-17,7
UK453,2020-08-18,2020-08-18,1
UK1800,2020-04-16,2020-08-17,47
UK1819,2020-06-15,2020-08-18,3
UK1720,2020-05-14,2020-08-18,4
UK1128,2020-08-17,2020-08-17,1
UK812,2020-08-18,2020-08-18,1
UK500,2020-06-14,2020-08-17,3
UK357,2020-06-01,2020-08-17,42
UK855,2020-07-19,2020-08-18,3
UK1617,2020-08-18,2020-08-18,1
UK2079,2020-08-19,2020-08-21,12
UK547,2020-08-17,2020-08-17,1
UK1105,2020-07-03,2020-08-20,20
UK2133,2020-08-18,2020-08-18,1
UK1831,2020-08-14,2020-08-17,2
UK1974,2020-03-23,2020-08-16,5
UK1123,2020-07-20,2020-08-17,2
UK1865,2020-03-28,2020-08-17,25
UK1612,2020-08-09,2020-08-21,10
UK1975,2020-04-07,2020-08-17,4
UK931,2020-08-10,2020-08-20,2
UK889,2020-05-12,2020-08-18,7
UK1890,2020-08-18,2020-08-18,1
UK34,2020-08-19,2020-08-19,1
UK2040,2020-08-21,2020-08-21,1
UK2153,2020-08-21,2020-08-21,1
UK498,2020-08-20,2020-08-20,1
UK1872,2020-08-21,2020-08-21,2
UK1363,2020-07-16,2020-08-21,9
UK592,2020-06-11,2020-07-01,13
UK1906,2020-06-16,2020-08-14,2
UK1681,2020-06-16,2020-06-16,1
UK527,2020-03-22,2020-06-20,10
UK65,2020-06-07,2020-07-24,4
UK2046,2020-06-09,2020-07-01,18
UK1391,2020-06-12,2020-06-15,2
UK1089,2020-06-11,2020-06-27,4
UK709,2020-03-29,2020-06-20,18
UK1608,2020-04-11,2020-06-17,3
UK1380,2020-06-07,2020-06-18,11
UK5741,2020-03-11,2020-07-15,128
UK494,2020-03-21,2020-07-16,142
UK319,2020-04-08,2020-08-11,7
UK1202,2020-06-11,2020-06-21,6
UK1411,2020-06-13,2020-07-15,11
UK943,2020-04-03,2020-06-24,2
UK5498,2020-03-14,2020-07-19,92
UK1961,2020-05-13,2020-06-11,2
UK1314,2020-03-31,2020-06-11,7
UK2042,2020-03-29,2020-06-11,2
UK1432,2020-08-09,2020-08-13,4
UK1035,2020-04-29,2020-08-07,6
UK1515,2020-06-07,2020-06-15,5
UK1366,2020-03-24,2020-06-11,6
UK925,2020-06-29,2020-08-13,4
UK513,2020-06-11,2020-06-11,1
UK697,2020-06-08,2020-07-02,7
UK1456,2020-08-12,2020-08-12,1
UK882,2020-05-21,2020-08-17,9
UK380,2020-08-12,2020-08-12,1
UK1759,2020-05-13,2020-08-11,9
UK12,2020-03-22,2020-08-14,23
UK819,2020-08-02,2020-08-13,12
UK1552,2020-08-13,2020-08-13,1
UK1362,2020-04-02,2020-08-12,8
UK910,2020-08-11,2020-08-11,1
UK1493,2020-08-14,2020-08-14,1
UK1083,2020-03-22,2020-08-12,5
UK1428,2020-08-11,2020-08-11,1
UK1102,2020-08-12,2020-08-13,2
UK1305,2020-08-14,2020-08-14,1
UK1191,2020-03-29,2020-08-14,6
UK459,2020-08-18,2020-08-18,1
UK1923,2020-04-12,2020-07-01,5
UK917,2020-03-15,2020-06-18,76
UK51,2020-03-26,2020-07-15,66
UK145,2020-08-13,2020-08-13,1
UK2099,2020-06-12,2020-08-09,3
UK1395,2020-08-08,2020-08-12,2
UK1561,2020-06-13,2020-06-14,2
UK1388,2020-06-08,2020-07-06,18
UK631,2020-06-08,2020-06-08,1
UK1156,2020-08-03,2020-08-13,2
UK2051,2020-06-08,2020-07-28,7
UK1232,2020-05-18,2020-07-03,25
UK1120,2020-08-10,2020-08-10,1
UK1651,2020-08-10,2020-08-10,1
UK1148,2020-03-06,2020-07-23,31
