Name,oldest_sequence,newest_sequence,number_taxa
UK800,2020-07-15,2020-08-30,64
UK1103,2020-09-07,2020-09-07,1
UK461,2020-08-02,2020-08-30,79
UK1186,2020-08-03,2020-08-31,174
UK718,2020-04-11,2020-08-26,58
UK1195,2020-04-04,2020-08-31,428
UK1146,2020-08-19,2020-08-19,3
UK1953,2020-06-08,2020-06-08,3
UK406,2020-08-10,2020-08-21,12
UK2111,2020-04-04,2020-08-09,73
UK399,2020-08-10,2020-08-31,28
UK407,2020-08-11,2020-08-31,50
UK312,2020-07-21,2020-08-31,142
UK511,2020-07-24,2020-08-13,8
UK1535,2020-03-02,2020-08-26,424
UK254,2020-08-03,2020-08-28,45
UK1151,2020-08-05,2020-08-25,37
UK678,2020-03-12,2020-08-14,133
UK510,2020-07-18,2020-08-31,75
UK2104,2020-03-31,2020-08-13,5
UK1211,2020-04-03,2020-08-29,201
UK2082,2020-03-14,2020-08-11,8
UK1076,2020-03-17,2020-08-22,247
UK5,2020-02-16,2020-08-31,11366
UK698,2020-03-20,2020-08-26,240
UK1855,2020-04-08,2020-08-26,439
UK529,2020-08-06,2020-08-22,13
UK1683,2020-03-08,2020-08-21,814
UK1152,2020-07-16,2020-08-21,84
UK1328,2020-08-02,2020-08-02,1
UK528,2020-07-22,2020-08-31,52
UK131,2020-03-11,2020-04-17,55
UK369,2020-04-30,2020-08-27,57
UK1037,2020-03-12,2020-08-19,676
UK1271,2020-04-08,2020-08-26,671
UK1850,2020-04-02,2020-08-07,41
UK1644,2020-04-07,2020-07-21,38
UK1205,2020-03-03,2020-08-25,1089
UK109,2020-03-12,2020-08-21,949
UK597,2020-03-25,2020-08-31,122
UK2200,2020-02-28,2020-08-26,172
UK108,2020-04-22,2020-07-16,30
UK1479,2020-06-09,2020-08-17,26
UK1951,2020-03-02,2020-08-20,2168
UK1212,2020-03-15,2020-07-04,59
UK1323,2020-03-19,2020-08-19,163
UK1684,2020-03-14,2020-07-04,330
UK199,2020-02-26,2020-08-26,817
UK2068,2020-03-26,2020-08-18,482
UK2094,2020-03-31,2020-06-24,17
UK1145,2020-03-23,2020-08-26,329
UK1051,2020-03-30,2020-07-25,73
UK1577,2020-04-27,2020-06-30,19
UK1575,2020-05-07,2020-06-23,2
UK1375,2020-04-15,2020-06-25,19
UK1586,2020-04-03,2020-06-22,9
UK175,2020-02-24,2020-08-21,2619
UK1126,2020-03-11,2020-08-17,204
UK2913,2020-03-07,2020-07-15,723
UK1278,2020-03-23,2020-07-27,257
UK826,2020-06-12,2020-08-21,12
UK1061,2020-04-17,2020-08-20,31
UK1264,2020-03-18,2020-07-02,62
UK1153,2020-03-15,2020-08-21,302
UK1968,2020-04-19,2020-06-29,17
UK2916,2020-02-03,2020-08-11,592
UK1830,2020-03-31,2020-07-02,12
UK1163,2020-04-23,2020-07-14,19
UK945,2020-03-17,2020-08-30,376
UK1570,2020-03-18,2020-06-23,12
UK1060,2020-03-03,2020-08-14,330
UK1280,2020-03-28,2020-06-26,3
UK2041,2020-04-07,2020-06-24,2
UK1134,2020-04-01,2020-08-06,95
UK1820,2020-04-01,2020-06-22,4
UK1300,2020-05-20,2020-07-02,19
UK1397,2020-06-14,2020-06-21,2
UK1816,2020-04-10,2020-06-24,3
UK1119,2020-04-04,2020-07-16,128
UK630,2020-06-06,2020-07-03,19
UK348,2020-05-13,2020-08-19,48
UK1893,2020-05-10,2020-08-17,8
UK1904,2020-03-31,2020-08-18,68
UK1769,2020-03-30,2020-08-21,32
UK741,2020-06-27,2020-08-21,27
UK809,2020-05-25,2020-06-29,9
UK51,2020-03-21,2020-07-15,155
UK1672,2020-05-26,2020-05-26,1
UK6,2020-03-06,2020-07-17,169
UK1455,2020-08-04,2020-08-19,22
UK847,2020-03-23,2020-08-31,114
UK1097,2020-07-06,2020-08-31,38
UK352,2020-07-05,2020-08-28,84
UK2022,2020-03-24,2020-08-31,177
UK331,2020-07-02,2020-08-21,34
UK1208,2020-07-04,2020-08-21,6
UK1709,2020-08-07,2020-08-26,26
UK1029,2020-04-04,2020-08-09,33
UK719,2020-03-13,2020-08-28,232
UK1269,2020-06-21,2020-08-31,9
UK1790,2020-03-20,2020-08-21,19
UK2067,2020-03-23,2020-08-21,68
UK1792,2020-05-19,2020-08-21,9
UK1125,2020-08-21,2020-08-21,1
UK1690,2020-08-20,2020-08-20,1
UK1317,2020-04-08,2020-08-21,22
UK1330,2020-04-27,2020-08-21,5
UK2092,2020-04-15,2020-08-09,5
UK1528,2020-07-20,2020-08-20,14
UK733,2020-08-10,2020-08-30,6
UK1491,2020-08-17,2020-08-21,2
UK689,2020-07-15,2020-08-21,7
UK501,2020-03-07,2020-08-20,135
UK1247,2020-08-04,2020-08-21,10
UK191,2020-03-22,2020-08-21,124
UK2008,2020-03-12,2020-08-20,3
UK560,2020-08-09,2020-08-18,4
UK363,2020-08-20,2020-08-20,1
UK1583,2020-08-09,2020-08-18,7
UK514,2020-07-06,2020-08-20,2
UK611,2020-08-18,2020-08-20,2
UK1452,2020-08-05,2020-08-25,6
UK2136,2020-06-21,2020-08-10,2
UK2031,2020-04-03,2020-08-23,2
UK1585,2020-04-23,2020-06-14,5
UK1266,2020-03-24,2020-06-17,41
UK924,2020-08-19,2020-08-31,9
UK931,2020-04-12,2020-08-31,6
UK357,2020-06-01,2020-08-29,45
UK917,2020-03-15,2020-07-23,198
UK928,2020-03-10,2020-05-25,69
UK247,2020-03-17,2020-04-23,7
UK107,2020-02-09,2020-07-20,1806
UK387,2020-03-06,2020-07-31,186
UK1630,2020-03-20,2020-04-30,19
UK484,2020-08-21,2020-08-21,1
UK1161,2020-07-06,2020-08-21,11
UK2089,2020-03-20,2020-08-20,6
UK1543,2020-08-29,2020-08-29,1
UK2118,2020-04-03,2020-08-26,5
UK1225,2020-04-28,2020-08-23,45
UK553,2020-08-09,2020-08-09,1
UK872,2020-08-09,2020-08-20,2
UK1007,2020-07-16,2020-08-20,3
UK1930,2020-04-11,2020-08-20,2
UK1710,2020-04-04,2020-08-20,3
UK1233,2020-03-23,2020-08-26,28
UK1584,2020-08-09,2020-08-09,1
UK1756,2020-08-26,2020-08-26,1
UK798,2020-08-30,2020-08-30,1
UK1050,2020-03-24,2020-08-26,12
UK967,2020-07-14,2020-08-20,12
UK1994,2020-04-14,2020-08-17,9
UK1645,2020-08-10,2020-08-31,38
UK1891,2020-07-21,2020-08-09,3
UK1883,2020-05-01,2020-08-26,2
UK780,2020-07-05,2020-08-20,14
UK650,2020-05-24,2020-08-29,6
UK1942,2020-03-31,2020-08-18,22
UK600,2020-02-29,2020-07-13,306
UK1218,2020-05-07,2020-07-22,35
UK1619,2020-03-20,2020-07-24,24
UK2464,2020-03-09,2020-06-29,706
UK1926,2020-03-17,2020-07-01,22
UK5501,2020-04-05,2020-06-24,31
UK1817,2020-04-04,2020-06-23,11
UK696,2020-04-05,2020-06-23,11
UK792,2020-06-19,2020-07-24,3
UK712,2020-04-08,2020-06-21,29
UK1065,2020-03-21,2020-07-22,160
UK2134,2020-04-13,2020-07-16,5
UK699,2020-03-12,2020-06-30,336
UK1844,2020-03-11,2020-08-18,13
UK1213,2020-06-08,2020-07-27,22
UK1200,2020-03-18,2020-07-18,10
UK1847,2020-03-27,2020-08-18,3
UK1675,2020-08-18,2020-08-18,3
UK395,2020-08-11,2020-08-17,2
UK1827,2020-03-24,2020-08-18,10
UK769,2020-08-15,2020-08-16,4
UK541,2020-08-12,2020-08-17,4
UK488,2020-08-17,2020-08-18,4
UK948,2020-08-18,2020-08-18,1
UK1406,2020-08-18,2020-08-18,1
UK404,2020-08-17,2020-08-17,1
UK470,2020-08-11,2020-08-16,3
UK1927,2020-03-29,2020-08-17,4
UK489,2020-08-18,2020-08-18,2
UK1090,2020-05-04,2020-08-17,8
UK453,2020-08-18,2020-08-18,1
UK1800,2020-04-09,2020-08-17,49
UK1819,2020-04-06,2020-08-18,60
UK1720,2020-04-03,2020-08-18,5
UK1128,2020-08-17,2020-08-17,1
UK812,2020-08-18,2020-08-18,1
UK500,2020-06-14,2020-08-17,3
UK1085,2020-06-14,2020-08-18,3
UK401,2020-03-02,2020-07-10,7
UK1157,2020-03-07,2020-07-23,142
UK5741,2020-03-11,2020-07-15,437
UK973,2020-06-12,2020-08-05,16
UK1156,2020-08-03,2020-08-21,5
UK1442,2020-07-13,2020-07-13,1
UK1806,2020-06-12,2020-08-31,3
UK21,2020-03-18,2020-05-23,53
UK873,2020-03-23,2020-04-11,4
UK498,2020-04-23,2020-08-31,6
UK775,2020-05-05,2020-08-29,2
UK855,2020-07-19,2020-08-18,3
UK1617,2020-04-02,2020-08-18,9
UK2079,2020-04-04,2020-08-21,14
UK547,2020-08-17,2020-08-17,1
UK1105,2020-07-03,2020-08-20,20
UK2133,2020-08-18,2020-08-18,1
UK1831,2020-04-08,2020-08-17,3
UK1974,2020-03-23,2020-08-16,10
UK1123,2020-07-20,2020-08-17,2
UK1865,2020-03-28,2020-08-17,31
UK1612,2020-08-09,2020-08-21,10
UK1975,2020-03-16,2020-08-17,6
UK1533,2020-08-24,2020-08-24,1
UK491,2020-03-11,2020-05-20,97
UK1120,2020-04-13,2020-08-10,8
UK1884,2020-03-08,2020-08-15,19
UK1723,2020-03-20,2020-08-24,19
UK889,2020-04-05,2020-08-18,11
UK1890,2020-08-18,2020-08-18,1
UK34,2020-02-27,2020-08-19,13
UK2040,2020-03-31,2020-08-21,2
UK2153,2020-04-03,2020-08-21,3
UK1872,2020-06-11,2020-08-21,4
UK1363,2020-03-12,2020-08-21,13
UK814,2020-07-30,2020-07-30,1
UK1660,2020-09-02,2020-09-02,1
UK1597,2020-06-16,2020-07-25,2
UK2115,2020-04-06,2020-08-04,2
UK418,2020-03-29,2020-08-04,7
UK1314,2020-03-31,2020-08-02,12
UK1219,2020-04-01,2020-05-14,24
UK218,2020-03-21,2020-06-02,29
UK1155,2020-03-05,2020-06-26,99
UK1124,2020-03-26,2020-07-26,14
UK2055,2020-04-14,2020-07-02,5
UK893,2020-03-12,2020-05-05,53
UK1967,2020-03-30,2020-04-21,8
UK487,2020-04-11,2020-04-11,1
UK738,2020-03-18,2020-06-09,36
UK1344,2020-04-02,2020-06-23,19
UK1542,2020-03-27,2020-04-20,42
UK2099,2020-05-04,2020-08-09,4
UK5676,2020-02-26,2020-07-22,715
UK1987,2020-03-20,2020-05-01,11
UK669,2020-03-07,2020-08-03,91
UK319,2020-03-28,2020-08-11,99
UK1270,2020-03-17,2020-06-24,33
UK592,2020-03-26,2020-07-07,18
UK1906,2020-03-24,2020-08-14,5
UK1681,2020-04-14,2020-06-16,12
UK527,2020-03-16,2020-06-20,44
UK65,2020-06-07,2020-07-24,4
UK2046,2020-06-09,2020-07-01,18
UK1391,2020-06-12,2020-07-03,4
UK1089,2020-04-09,2020-06-27,5
UK709,2020-03-25,2020-06-29,69
UK1608,2020-04-11,2020-06-17,3
UK1380,2020-03-06,2020-06-18,15
UK494,2020-03-19,2020-07-16,197
UK1202,2020-03-26,2020-06-26,21
UK1411,2020-06-13,2020-07-15,11
UK943,2020-03-29,2020-06-24,6
UK5498,2020-03-06,2020-07-19,169
UK1961,2020-04-08,2020-06-11,6
UK2042,2020-03-29,2020-06-11,2
UK1432,2020-08-09,2020-08-13,4
UK1035,2020-04-29,2020-08-07,6
UK1515,2020-04-04,2020-06-15,8
UK1366,2020-03-24,2020-06-11,8
UK925,2020-06-29,2020-08-13,4
UK513,2020-04-19,2020-06-11,2
UK697,2020-06-08,2020-07-02,7
UK1456,2020-08-12,2020-08-12,1
UK215,2020-03-12,2020-04-19,34
UK422,2020-03-22,2020-04-30,17
UK1204,2020-04-14,2020-04-14,1
UK417,2020-04-24,2020-04-24,1
UK1759,2020-04-04,2020-08-11,22
UK829,2020-03-03,2020-06-14,106
UK691,2020-08-09,2020-08-09,1
UK1175,2020-07-29,2020-07-29,1
UK9,2020-03-09,2020-05-18,303
UK1973,2020-04-02,2020-05-13,3
UK4658,2020-03-16,2020-05-02,4
UK1168,2020-05-04,2020-05-04,1
UK882,2020-05-21,2020-08-17,9
UK380,2020-08-12,2020-08-12,1
UK12,2020-03-11,2020-08-14,56
UK819,2020-08-02,2020-08-13,12
UK1552,2020-08-13,2020-08-13,1
UK1362,2020-03-09,2020-08-12,13
UK910,2020-08-11,2020-08-11,1
UK1493,2020-03-31,2020-08-14,2
UK1083,2020-03-22,2020-08-12,6
UK1428,2020-08-11,2020-08-11,1
UK1102,2020-08-12,2020-08-13,2
UK167,2020-03-11,2020-07-15,429
UK1588,2020-04-17,2020-04-17,1
UK2906,2020-03-04,2020-06-30,76
UK1898,2020-03-18,2020-04-11,7
UK2045,2020-03-17,2020-05-25,36
UK86,2020-03-05,2020-05-28,66
UK1626,2020-04-15,2020-04-15,1
UK1437,2020-04-08,2020-05-14,42
UK1305,2020-08-14,2020-08-14,1
UK1191,2020-03-29,2020-08-14,8
UK459,2020-08-18,2020-08-18,1
UK1923,2020-04-04,2020-07-01,6
UK145,2020-08-13,2020-08-13,1
UK1395,2020-08-08,2020-08-12,2
UK1561,2020-06-13,2020-06-14,2
UK1388,2020-03-18,2020-07-06,26
UK631,2020-06-08,2020-06-08,1
UK2051,2020-06-01,2020-07-28,9
UK1232,2020-05-18,2020-07-03,25
UK1651,2020-08-10,2020-08-10,1
UK1148,2020-03-06,2020-08-06,40
UK1559,2020-03-20,2020-04-25,13
UK1412,2020-03-25,2020-04-29,6
UK31,2020-03-10,2020-07-23,122
UK374,2020-03-13,2020-04-13,4
UK2095,2020-07-03,2020-08-10,10
UK1567,2020-08-10,2020-08-10,2
UK656,2020-03-29,2020-08-11,6
UK1673,2020-08-08,2020-08-08,1
UK1118,2020-08-10,2020-08-10,1
UK1692,2020-04-09,2020-08-11,2
UK1625,2020-08-09,2020-08-09,1
UK1312,2020-07-11,2020-08-10,41
UK2057,2020-06-08,2020-07-02,2
UK388,2020-06-10,2020-06-10,1
UK916,2020-03-24,2020-07-24,24
UK1979,2020-04-05,2020-06-13,11
UK1307,2020-03-17,2020-06-08,33
UK1744,2020-05-13,2020-06-09,3
UK1908,2020-03-26,2020-06-08,17
UK1267,2020-04-25,2020-06-11,5
UK2047,2020-03-09,2020-06-08,3
UK1734,2020-06-12,2020-06-12,1
UK1181,2020-06-08,2020-06-08,1
UK231,2020-03-29,2020-07-02,23
UK1140,2020-04-04,2020-06-17,51
UK478,2020-04-10,2020-07-15,14
UK727,2020-06-11,2020-06-11,1
UK2086,2020-06-08,2020-08-03,2
UK1990,2020-03-29,2020-06-11,3
UK962,2020-04-02,2020-06-12,12
UK1091,2020-03-13,2020-07-15,597
UK951,2020-03-22,2020-06-08,6
UK1519,2020-03-30,2020-07-03,10
UK1609,2020-03-11,2020-06-14,8
UK1592,2020-06-11,2020-06-11,1
UK402,2020-03-01,2020-07-15,67
UK336,2020-03-11,2020-07-22,939
UK1396,2020-06-13,2020-06-13,1
UK2100,2020-03-25,2020-06-10,5
UK838,2020-03-25,2020-06-13,3
UK1000,2020-04-14,2020-06-07,3
UK671,2020-06-09,2020-06-09,1
UK1525,2020-04-21,2020-06-12,10
UK701,2020-04-13,2020-06-14,47
UK443,2020-06-07,2020-06-07,1
UK1857,2020-03-26,2020-07-17,24
UK1877,2020-04-07,2020-06-05,3
UK842,2020-03-13,2020-06-15,18
UK117,2020-03-10,2020-06-13,4
UK174,2020-03-19,2020-08-04,31
UK740,2020-03-18,2020-06-13,167
UK1141,2020-03-14,2020-06-10,16
UK1803,2020-03-26,2020-07-02,13
UK1797,2020-05-12,2020-06-09,2
UK1133,2020-04-08,2020-06-15,138
UK5084,2020-03-27,2020-06-18,12
UK564,2020-06-07,2020-06-25,6
UK2061,2020-03-17,2020-07-18,13
UK1841,2020-04-14,2020-06-11,2
UK382,2020-06-12,2020-06-12,1
UK887,2020-04-21,2020-07-04,6
UK1845,2020-03-15,2020-06-10,2
UK1947,2020-04-01,2020-06-10,3
UK160,2020-04-23,2020-07-01,12
UK1732,2020-06-13,2020-06-13,1
UK1004,2020-06-12,2020-06-19,4
UK1764,2020-03-27,2020-06-10,3
UK1836,2020-03-13,2020-06-13,8
UK1301,2020-04-06,2020-06-18,16
UK119,2020-03-11,2020-05-12,54
UK1062,2020-06-15,2020-06-15,1
UK1481,2020-04-07,2020-06-18,4
UK244,2020-03-20,2020-07-18,5
UK1669,2020-06-16,2020-06-16,1
UK721,2020-06-16,2020-06-16,1
UK1468,2020-03-27,2020-06-15,3
UK1095,2020-08-05,2020-08-05,1
UK1215,2020-03-16,2020-06-10,97
UK394,2020-08-03,2020-08-03,1
UK778,2020-05-01,2020-06-20,6
UK1579,2020-04-15,2020-06-09,2
UK2007,2020-04-03,2020-06-24,29
UK927,2020-04-15,2020-06-30,10
UK2108,2020-05-11,2020-06-09,2
UK971,2020-04-16,2020-06-09,4
UK805,2020-04-15,2020-07-21,84
UK1398,2020-03-28,2020-06-07,10
UK1446,2020-03-12,2020-06-07,3
UK203,2020-06-15,2020-06-15,1
UK497,2020-03-13,2020-06-09,50
UK902,2020-03-11,2020-07-22,89
UK64,2020-06-15,2020-06-15,1
UK1297,2020-04-09,2020-06-11,68
UK1017,2020-04-01,2020-06-09,2
UK1787,2020-05-02,2020-06-19,4
UK356,2020-03-12,2020-07-13,63
UK667,2020-03-20,2020-06-10,42
UK1686,2020-06-09,2020-06-09,1
UK1610,2020-06-07,2020-06-07,1
UK569,2020-05-18,2020-06-07,5
UK785,2020-06-15,2020-06-15,1
UK1649,2020-04-10,2020-06-15,5
UK1611,2020-06-13,2020-06-15,2
UK1389,2020-04-22,2020-06-13,3
UK2204,2020-04-05,2020-06-10,10
UK1327,2020-06-20,2020-06-20,1
UK1502,2020-04-07,2020-06-17,2
UK1991,2020-03-26,2020-06-18,3
UK1996,2020-04-02,2020-07-20,10
UK1539,2020-07-03,2020-07-03,1
UK1589,2020-06-11,2020-06-11,1
UK859,2020-06-16,2020-06-16,1
UK1952,2020-04-10,2020-06-09,2
UK530,2020-06-07,2020-06-07,1
UK969,2020-04-10,2020-06-15,3
UK1262,2020-04-02,2020-06-16,8
UK1948,2020-03-25,2020-07-15,4
UK1283,2020-06-07,2020-06-07,1
UK1721,2020-03-19,2020-07-03,40
UK1565,2020-04-04,2020-06-07,2
UK1931,2020-03-13,2020-06-13,5
UK2103,2020-04-13,2020-06-18,2
UK1500,2020-07-31,2020-07-31,1
UK961,2020-07-05,2020-08-03,3
UK1958,2020-03-31,2020-08-05,2
UK1408,2020-04-20,2020-08-05,4
UK315,2020-02-25,2020-08-02,232
UK1878,2020-03-29,2020-06-11,2
UK1538,2020-03-29,2020-08-04,3
UK1176,2020-07-14,2020-08-04,18
UK298,2020-07-13,2020-08-05,30
UK864,2020-08-04,2020-08-04,1
UK2105,2020-03-29,2020-06-11,5
UK1801,2020-06-04,2020-07-27,3
UK193,2020-03-17,2020-07-24,14
UK427,2020-05-04,2020-05-04,1
UK256,2020-03-15,2020-05-07,12
UK2071,2020-04-21,2020-05-11,2
UK275,2020-03-09,2020-06-02,70
UK1591,2020-05-18,2020-05-18,1
UK339,2020-03-05,2020-05-18,6
UK994,2020-03-26,2020-05-18,35
UK381,2020-05-11,2020-05-18,2
UK1791,2020-03-23,2020-05-11,6
UK1347,2020-05-05,2020-06-04,13
UK1228,2020-03-20,2020-05-11,16
UK1227,2020-05-12,2020-05-12,1
UK1230,2020-03-18,2020-06-02,33
UK1359,2020-04-09,2020-05-18,11
UK1472,2020-04-05,2020-05-18,2
UK702,2020-03-28,2020-05-11,3
UK1129,2020-03-27,2020-07-23,22
UK996,2020-05-18,2020-05-18,1
UK1197,2020-04-05,2020-05-12,2
UK521,2020-05-12,2020-05-12,1
UK1285,2020-05-05,2020-07-15,6
UK1523,2020-05-12,2020-05-18,3
UK507,2020-03-15,2020-05-12,39
UK1605,2020-03-23,2020-05-26,4
UK787,2020-03-12,2020-05-18,7
UK1869,2020-03-26,2020-05-18,5
UK450,2020-03-30,2020-06-17,9
UK1822,2020-03-27,2020-07-04,6
UK1920,2020-04-04,2020-04-14,2
UK646,2020-03-12,2020-06-16,36
UK499,2020-03-05,2020-04-13,14
UK1960,2020-03-31,2020-05-19,11
UK100,2020-03-22,2020-06-01,64
UK844,2020-03-23,2020-04-28,3
UK1040,2020-03-21,2020-05-06,16
UK896,2020-03-28,2020-04-13,5
UK1081,2020-03-26,2020-05-05,8
UK1716,2020-04-05,2020-04-05,1
UK1772,2020-03-29,2020-03-29,1
UK1623,2020-04-04,2020-04-04,1
UK1158,2020-03-11,2020-05-04,42
UK330,2020-03-27,2020-07-02,21
UK762,2020-04-05,2020-04-05,1
UK1093,2020-03-23,2020-06-01,5
UK1774,2020-03-30,2020-03-30,1
UK1945,2020-04-07,2020-04-13,3
UK937,2020-03-28,2020-03-28,1
UK1856,2020-04-03,2020-04-20,2
UK40,2020-03-13,2020-06-23,265
UK1387,2020-03-28,2020-04-11,2
UK522,2020-03-23,2020-04-24,12
UK1216,2020-03-29,2020-05-14,13
UK87,2020-03-13,2020-04-24,36
UK1254,2020-03-22,2020-05-21,81
UK1648,2020-03-29,2020-03-29,1
UK151,2020-03-09,2020-04-20,36
UK868,2020-04-05,2020-04-05,1
UK2119,2020-04-07,2020-04-07,1
UK1992,2020-03-28,2020-05-05,13
UK1556,2020-04-07,2020-04-07,1
UK504,2020-03-28,2020-03-28,1
UK1861,2020-03-27,2020-07-15,21
UK1808,2020-04-04,2020-06-29,2
UK72,2020-02-05,2020-06-23,460
UK1418,2020-03-23,2020-07-09,19
UK2120,2020-04-07,2020-04-07,1
UK1773,2020-03-26,2020-03-29,2
UK716,2020-03-24,2020-04-07,5
UK39,2020-03-12,2020-05-29,207
UK883,2020-04-04,2020-04-04,1
UK37,2020-03-17,2020-05-05,88
UK1780,2020-03-11,2020-06-03,9
UK79,2020-03-24,2020-06-06,39
UK1725,2020-03-30,2020-04-30,18
UK1497,2020-03-23,2020-05-05,13
UK132,2020-03-27,2020-05-13,15
UK968,2020-03-28,2020-07-18,37
UK609,2020-03-08,2020-04-29,9
UK1329,2020-03-22,2020-04-30,3
UK343,2020-03-21,2020-04-28,8
UK2043,2020-04-29,2020-05-13,3
UK983,2020-04-21,2020-08-18,59
UK853,2020-07-23,2020-07-23,1
UK49,2020-03-12,2020-08-06,31
UK607,2020-03-02,2020-06-16,104
UK59,2020-02-23,2020-04-28,102
UK61,2020-03-08,2020-08-03,609
UK1859,2020-03-30,2020-08-09,5
UK1843,2020-03-21,2020-08-08,31
UK396,2020-08-05,2020-08-05,1
UK1494,2020-08-05,2020-08-05,2
UK1361,2020-07-15,2020-08-02,9
UK1374,2020-08-07,2020-08-07,1
UK923,2020-08-08,2020-08-08,1
UK1122,2020-08-04,2020-08-04,1
UK240,2020-03-26,2020-08-06,10
UK1708,2020-08-06,2020-08-06,1
UK496,2020-04-06,2020-07-22,2
UK1224,2020-07-12,2020-07-27,7
UK1860,2020-03-30,2020-06-14,9
UK1109,2020-06-18,2020-06-18,1
UK1273,2020-07-15,2020-07-27,9
UK1274,2020-06-22,2020-07-16,31
UK2054,2020-03-08,2020-07-02,4
UK1448,2020-07-01,2020-07-01,2
UK1052,2020-03-30,2020-07-02,2
UK1008,2020-07-04,2020-07-04,1
UK66,2020-06-11,2020-06-11,2
UK2121,2020-07-23,2020-07-27,2
UK2004,2020-03-26,2020-06-14,7
UK1838,2020-03-24,2020-07-23,16
UK899,2020-03-12,2020-06-26,70
UK1166,2020-07-20,2020-07-27,3
UK1852,2020-03-17,2020-07-18,13
UK947,2020-07-16,2020-07-18,6
UK1070,2020-07-24,2020-07-24,1
UK1244,2020-07-15,2020-07-25,10
UK2030,2020-03-31,2020-07-22,14
UK857,2020-06-09,2020-07-12,2
UK525,2020-07-17,2020-07-29,3
UK1402,2020-07-20,2020-07-20,1
UK481,2020-06-23,2020-06-23,1
UK1932,2020-03-23,2020-07-13,8
UK2039,2020-03-13,2020-06-25,146
UK1677,2020-06-27,2020-06-27,1
UK1794,2020-04-22,2020-06-27,3
UK2098,2020-03-28,2020-06-24,7
UK1748,2020-04-04,2020-07-20,5
UK949,2020-07-13,2020-07-16,3
UK717,2020-07-17,2020-07-17,3
UK1049,2020-04-06,2020-07-20,5
UK41,2020-07-14,2020-07-14,1
UK1194,2020-07-15,2020-07-15,1
UK571,2020-07-29,2020-07-29,1
UK1138,2020-05-01,2020-07-22,4
UK1590,2020-04-07,2020-07-13,2
UK1394,2020-07-10,2020-07-10,1
UK1853,2020-06-05,2020-07-27,2
UK1464,2020-07-28,2020-07-28,1
UK2087,2020-03-29,2020-07-11,15
UK419,2020-07-21,2020-07-21,1
UK2023,2020-04-28,2020-07-22,2
UK2080,2020-04-13,2020-07-23,2
UK465,2020-04-06,2020-07-14,2
UK926,2020-04-27,2020-07-15,2
UK2026,2020-04-03,2020-07-21,3
UK183,2020-03-03,2020-04-03,20
UK111,2020-03-22,2020-03-22,1
UK1766,2020-03-23,2020-03-26,3
UK267,2020-02-25,2020-07-15,235
UK274,2020-03-06,2020-05-20,111
UK4,2020-02-28,2020-04-29,181
UK98,2020-03-23,2020-06-04,7
UK403,2020-03-23,2020-03-23,1
UK1487,2020-03-17,2020-06-24,109
UK705,2020-03-16,2020-03-26,6
UK934,2020-03-25,2020-04-13,11
UK878,2020-03-23,2020-03-26,2
UK601,2020-03-11,2020-05-15,116
UK288,2020-03-12,2020-04-04,12
UK965,2020-03-26,2020-03-29,2
UK436,2020-03-24,2020-05-14,18
UK2096,2020-06-17,2020-06-17,1
UK69,2020-03-24,2020-03-24,1
UK2001,2020-04-10,2020-06-17,2
UK360,2020-03-04,2020-05-18,47
UK198,2020-03-26,2020-04-03,4
UK835,2020-03-25,2020-03-25,1
UK493,2020-03-23,2020-03-31,4
UK561,2020-03-01,2020-04-15,12
UK55,2020-03-10,2020-06-23,85
UK946,2020-03-25,2020-04-23,9
UK206,2020-03-19,2020-04-02,3
UK832,2020-03-09,2020-04-26,21
UK1749,2020-03-24,2020-04-09,4
UK30,2020-03-17,2020-03-29,3
UK241,2020-03-22,2020-04-16,37
UK556,2020-03-24,2020-03-25,2
UK939,2020-07-29,2020-07-29,1
UK2056,2020-04-06,2020-06-24,5
UK1796,2020-04-30,2020-06-24,2
UK1696,2020-06-29,2020-06-29,1
UK1210,2020-07-14,2020-07-29,8
UK2088,2020-04-16,2020-06-22,2
UK1738,2020-06-29,2020-06-29,1
UK706,2020-03-27,2020-03-27,1
UK1829,2020-03-13,2020-04-13,2
UK1178,2020-04-03,2020-04-27,15
UK2090,2020-07-19,2020-07-19,1
UK285,2020-03-06,2020-07-22,4
UK1336,2020-04-09,2020-07-26,12
UK80,2020-04-07,2020-04-07,1
UK1071,2020-03-23,2020-07-26,4
UK1751,2020-04-08,2020-04-08,1
UK598,2020-03-21,2020-04-20,4
UK1603,2020-03-30,2020-07-27,40
UK1193,2020-03-13,2020-04-27,2
UK2077,2020-04-05,2020-04-14,3
UK1587,2020-04-02,2020-04-02,1
UK1433,2020-04-10,2020-04-20,3
UK905,2020-04-13,2020-04-13,1
UK1807,2020-04-15,2020-04-23,2
UK1190,2020-04-23,2020-04-23,1
UK1969,2020-04-02,2020-04-02,1
UK1351,2020-04-12,2020-04-12,1
UK1367,2020-03-28,2020-04-12,5
UK845,2020-03-27,2020-03-27,1
UK454,2020-03-26,2020-03-26,1
UK181,2020-03-28,2020-03-28,1
UK1473,2020-03-28,2020-03-28,1
UK1226,2020-03-25,2020-04-14,5
UK1811,2020-03-26,2020-04-06,2
UK1892,2020-03-27,2020-05-06,3
UK552,2020-03-18,2020-04-04,11
UK984,2020-03-27,2020-04-04,2
UK390,2020-03-26,2020-05-01,10
UK635,2020-03-17,2020-04-15,7
