Name,oldest_sequence,newest_sequence,number_taxa
UK472,2020-04-04,2020-04-27,18
UK3084,2020-04-15,2020-04-19,2
UK473,2020-04-02,2020-04-29,24
UK158,2020-03-20,2020-05-02,142
UK5528,2020-04-15,2020-04-15,1
UK2464,2020-03-26,2020-05-02,70
UK74,2020-03-30,2020-05-03,96
UK633,2020-04-03,2020-05-01,24
UK202,2020-04-28,2020-05-01,5
UK19,2020-03-17,2020-05-02,81
UK1816,2020-04-04,2020-04-04,1
UK4507,2020-04-14,2020-05-03,22
UK2200,2020-03-15,2020-04-26,33
UK635,2020-04-07,2020-05-02,9
UK61,2020-03-10,2020-05-01,340
UK2891,2020-03-31,2020-04-24,7
UK632,2020-03-25,2020-05-02,97
UK5353,2020-04-02,2020-04-02,1
UK2559,2020-04-15,2020-04-15,1
UK495,2020-04-01,2020-05-02,65
UK5167,2020-04-15,2020-04-15,1
UK5,2020-03-04,2020-05-03,125
UK5556,2020-03-18,2020-04-16,15
UK2019,2020-04-04,2020-04-04,1
UK262,2020-04-07,2020-04-07,1
UK801,2020-04-05,2020-05-02,7
UK187,2020-04-01,2020-04-28,26
UK4774,2020-04-04,2020-04-07,2
UK277,2020-03-28,2020-04-28,14
UK5670,2020-04-01,2020-04-30,6
UK5354,2020-04-30,2020-04-30,1
UK5539,2020-04-04,2020-04-04,1
UK5322,2020-04-08,2020-05-03,16
UK696,2020-04-10,2020-05-01,8
UK701,2020-03-25,2020-05-01,43
UK5538,2020-05-02,2020-05-02,1
UK2894,2020-04-12,2020-05-02,4
UK5355,2020-04-14,2020-04-14,1
UK536,2020-03-27,2020-04-09,7
UK3075,2020-04-17,2020-05-01,8
UK762,2020-04-11,2020-04-30,7
UK211,2020-03-24,2020-04-30,11
UK42,2020-03-07,2020-04-27,112
UK5356,2020-04-04,2020-04-04,1
UK394,2020-03-24,2020-04-24,16
UK571,2020-04-06,2020-04-29,10
UK474,2020-04-01,2020-04-16,8
UK439,2020-04-02,2020-04-20,7
UK5221,2020-04-15,2020-04-15,1
UK5099,2020-05-01,2020-05-01,1
UK466,2020-04-03,2020-05-02,5
UK444,2020-05-02,2020-05-02,1
UK418,2020-04-03,2020-04-20,7
UK5540,2020-04-04,2020-04-04,1
UK86,2020-03-30,2020-04-28,23
UK757,2020-04-04,2020-04-04,1
UK5326,2020-04-24,2020-04-24,1
UK193,2020-04-01,2020-05-01,10
UK322,2020-03-30,2020-04-26,15
UK462,2020-04-01,2020-04-16,6
UK504,2020-03-30,2020-04-13,12
UK5100,2020-04-02,2020-04-02,1
UK761,2020-04-12,2020-04-28,6
UK1233,2020-04-09,2020-04-26,3
UK475,2020-05-02,2020-05-02,1
UK111,2020-04-25,2020-04-25,1
UK1608,2020-04-03,2020-04-04,2
UK5357,2020-04-13,2020-04-13,1
UK5358,2020-04-15,2020-04-15,1
UK392,2020-03-25,2020-04-12,16
UK534,2020-05-01,2020-05-01,1
UK5101,2020-04-14,2020-04-14,1
UK156,2020-03-28,2020-04-30,9
UK3465,2020-04-07,2020-04-15,2
UK5359,2020-04-04,2020-04-04,1
UK5360,2020-04-04,2020-04-04,1
UK5102,2020-04-02,2020-04-02,1
UK5103,2020-04-04,2020-04-04,1
UK5361,2020-04-14,2020-04-14,1
UK5222,2020-04-01,2020-04-01,1
UK5362,2020-04-30,2020-04-30,1
UK5363,2020-04-28,2020-04-28,1
UK5104,2020-04-29,2020-04-29,1
UK5364,2020-04-13,2020-04-13,1
UK537,2020-04-07,2020-04-29,4
UK5105,2020-04-02,2020-04-02,1
UK5365,2020-04-04,2020-04-04,1
UK36,2020-04-04,2020-04-08,2
UK3088,2020-04-14,2020-04-27,3
UK750,2020-04-07,2020-04-15,9
UK179,2020-03-17,2020-05-01,22
UK5106,2020-04-15,2020-04-15,1
UK1835,2020-04-02,2020-04-02,1
UK5671,2020-03-31,2020-05-01,5
UK572,2020-04-07,2020-05-01,7
UK5366,2020-04-15,2020-04-15,1
UK5107,2020-05-02,2020-05-02,1
UK5108,2020-04-03,2020-04-03,1
UK2088,2020-04-18,2020-04-30,4
UK298,2020-03-27,2020-04-29,20
UK1736,2020-04-04,2020-04-04,1
UK303,2020-03-25,2020-04-14,10
UK5311,2020-04-28,2020-04-28,1
UK5223,2020-04-24,2020-04-24,1
UK713,2020-04-30,2020-04-30,1
UK947,2020-04-07,2020-04-15,4
UK612,2020-03-31,2020-04-11,6
UK2034,2020-04-25,2020-04-25,1
UK471,2020-04-02,2020-04-24,9
UK603,2020-03-29,2020-04-09,13
UK358,2020-03-31,2020-04-09,6
UK1038,2020-04-14,2020-04-14,1
UK2060,2020-04-14,2020-04-14,1
UK5109,2020-04-02,2020-04-02,1
UK155,2020-03-25,2020-05-03,7
UK5367,2020-04-15,2020-04-15,1
UK89,2020-04-10,2020-05-02,2
UK1848,2020-04-04,2020-04-04,1
UK5368,2020-05-01,2020-05-01,1
UK4493,2020-04-01,2020-04-01,1
UK64,2020-03-25,2020-04-20,9
UK5369,2020-04-03,2020-04-03,1
UK994,2020-04-23,2020-04-27,3
UK2017,2020-04-24,2020-04-24,1
UK2455,2020-04-28,2020-04-28,1
UK1227,2020-04-27,2020-04-27,1
UK782,2020-04-23,2020-04-23,1
UK996,2020-04-25,2020-04-25,2
UK783,2020-04-24,2020-04-24,1
UK1001,2020-04-24,2020-04-24,1
UK784,2020-04-18,2020-04-18,1
UK4536,2020-04-10,2020-04-24,2
UK367,2020-03-25,2020-04-27,8
UK2013,2020-04-16,2020-04-24,2
UK5681,2020-04-03,2020-04-27,10
UK80,2020-03-31,2020-04-27,6
UK5378,2020-04-02,2020-04-25,12
UK2018,2020-01-27,2020-01-27,1
UK1228,2020-04-27,2020-04-27,1
UK1229,2020-04-27,2020-04-27,1
UK5313,2020-04-20,2020-04-20,1
UK785,2020-04-25,2020-04-25,1
UK41,2020-04-10,2020-04-27,9
UK1230,2020-04-24,2020-04-24,1
UK1032,2020-04-24,2020-04-24,1
UK1231,2020-04-26,2020-04-26,1
UK4,2020-03-11,2020-04-24,13
UK181,2020-04-07,2020-04-26,3
UK2898,2020-04-27,2020-04-27,1
UK5682,2020-04-08,2020-04-24,4
UK259,2020-04-23,2020-04-23,1
UK2900,2020-04-27,2020-04-27,1
UK1232,2020-04-17,2020-04-17,1
UK1234,2020-04-28,2020-04-28,1
UK795,2020-04-27,2020-04-27,1
UK2206,2020-04-24,2020-04-24,1
UK1235,2020-04-26,2020-04-26,1
UK874,2020-04-06,2020-04-24,7
UK1236,2020-04-23,2020-04-23,1
UK798,2020-04-28,2020-04-28,1
UK5561,2020-03-30,2020-04-27,12
UK1165,2020-04-25,2020-04-25,1
UK1237,2020-04-22,2020-04-22,1
UK1238,2020-04-28,2020-04-28,1
UK702,2020-04-02,2020-04-27,3
UK465,2020-04-26,2020-04-26,1
UK9,2020-04-17,2020-04-17,1
UK2790,2020-04-14,2020-04-14,1
UK5691,2020-04-06,2020-04-18,2
UK1535,2020-04-14,2020-04-14,1
UK3072,2020-04-07,2020-04-07,1
UK2092,2020-04-14,2020-04-14,1
UK350,2020-03-31,2020-04-20,6
UK3073,2020-04-07,2020-04-07,1
UK5179,2020-04-17,2020-04-17,1
UK1536,2020-04-14,2020-04-14,1
UK4661,2020-04-21,2020-04-21,1
UK2791,2020-04-18,2020-04-18,1
UK1674,2020-04-14,2020-04-14,1
UK2557,2020-04-01,2020-04-20,5
UK2093,2020-04-18,2020-04-18,1
UK531,2020-04-20,2020-04-20,2
UK3074,2020-04-16,2020-04-16,1
UK5557,2020-04-17,2020-04-17,1
UK810,2020-04-08,2020-04-14,3
UK3076,2020-04-19,2020-04-19,1
UK2829,2020-04-14,2020-04-14,1
UK3077,2020-04-15,2020-04-15,1
UK948,2020-04-14,2020-04-16,2
UK3078,2020-04-14,2020-04-14,1
UK1329,2020-04-16,2020-04-16,1
UK3080,2020-04-17,2020-04-17,1
UK698,2020-04-11,2020-04-17,2
UK1786,2020-04-20,2020-04-20,1
UK3081,2020-04-07,2020-04-07,1
UK2830,2020-04-20,2020-04-20,1
UK3082,2020-04-13,2020-04-13,1
UK3083,2020-04-19,2020-04-19,1
UK5129,2020-03-20,2020-04-20,2
UK2094,2020-04-07,2020-04-07,1
UK2792,2020-04-14,2020-04-14,1
UK1675,2020-04-18,2020-04-18,1
UK2095,2020-04-13,2020-04-13,1
UK3085,2020-04-07,2020-04-07,1
UK3086,2020-04-07,2020-04-07,1
UK1404,2020-04-15,2020-04-15,1
UK2096,2020-04-16,2020-04-16,1
UK3087,2020-04-18,2020-04-18,1
UK3089,2020-04-16,2020-04-16,1
UK3090,2020-04-17,2020-04-17,1
UK3091,2020-04-15,2020-04-15,1
UK3092,2020-04-20,2020-04-20,1
UK622,2020-04-07,2020-04-17,3
UK1537,2020-04-14,2020-04-14,1
UK3093,2020-04-19,2020-04-19,1
UK3094,2020-04-20,2020-04-20,1
UK841,2020-04-08,2020-04-13,2
UK441,2020-04-08,2020-04-20,3
UK1787,2020-04-16,2020-04-16,1
UK1187,2020-04-20,2020-04-20,1
UK3095,2020-04-17,2020-04-17,1
UK961,2020-04-12,2020-04-14,2
UK139,2020-04-12,2020-04-18,2
UK1327,2020-04-17,2020-04-17,1
UK3096,2020-04-14,2020-04-14,1
UK1538,2020-04-18,2020-04-18,1
UK2097,2020-04-18,2020-04-18,1
UK5465,2020-04-07,2020-04-17,2
UK2098,2020-04-14,2020-04-14,1
UK2064,2020-04-06,2020-04-17,2
UK882,2020-04-12,2020-04-16,2
UK1613,2020-04-21,2020-04-21,1
UK738,2020-04-06,2020-04-14,4
UK2099,2020-04-15,2020-04-15,1
UK45,2020-03-01,2020-04-20,10
UK3097,2020-04-21,2020-04-21,1
UK666,2020-04-07,2020-04-16,4
UK2100,2020-04-16,2020-04-16,1
UK2831,2020-04-21,2020-04-21,1
UK109,2020-04-20,2020-04-20,1
UK3098,2020-04-14,2020-04-14,1
UK269,2020-03-31,2020-04-18,3
UK2101,2020-04-07,2020-04-07,1
UK3099,2020-04-15,2020-04-15,1
UK2102,2020-04-20,2020-04-20,1
UK3100,2020-04-21,2020-04-21,1
UK1789,2020-04-04,2020-04-04,1
UK119,2020-03-30,2020-04-14,7
UK3140,2020-04-11,2020-04-11,1
UK880,2020-04-05,2020-04-09,4
UK1011,2020-04-03,2020-04-04,2
UK339,2020-03-25,2020-04-14,7
UK3141,2020-04-12,2020-04-12,1
UK2107,2020-04-02,2020-04-02,1
UK3142,2020-04-10,2020-04-10,1
UK2108,2020-04-11,2020-04-11,1
UK3143,2020-04-03,2020-04-03,1
UK2109,2020-04-03,2020-04-03,1
UK3144,2020-04-12,2020-04-12,1
UK3148,2020-04-11,2020-04-11,1
UK3149,2020-04-10,2020-04-10,1
UK1618,2020-04-03,2020-04-03,1
UK5309,2020-04-01,2020-04-07,3
UK5702,2020-04-03,2020-04-03,1
UK2110,2020-04-07,2020-04-07,1
UK2111,2020-04-11,2020-04-11,1
UK1534,2020-04-06,2020-04-06,1
UK172,2020-04-04,2020-04-04,1
UK2112,2020-04-14,2020-04-14,1
UK2113,2020-04-11,2020-04-11,1
UK2114,2020-04-06,2020-04-06,1
UK2115,2020-04-03,2020-04-03,1
UK1707,2020-04-16,2020-04-16,1
UK4518,2020-04-13,2020-04-13,1
UK2796,2020-04-13,2020-04-13,1
UK2116,2020-04-10,2020-04-10,1
UK4526,2020-04-07,2020-04-07,1
UK934,2020-04-04,2020-04-07,2
UK5703,2020-04-11,2020-04-11,1
UK4398,2020-04-01,2020-04-01,1
UK3150,2020-04-07,2020-04-07,1
UK1321,2020-04-07,2020-04-07,1
UK2832,2020-04-08,2020-04-08,1
UK161,2020-03-16,2020-04-10,5
UK5667,2020-04-02,2020-04-08,3
UK3151,2020-04-10,2020-04-10,1
UK3152,2020-04-03,2020-04-03,1
UK1676,2020-04-16,2020-04-16,1
UK69,2020-04-03,2020-04-03,1
UK2117,2020-04-03,2020-04-03,1
UK77,2020-03-18,2020-04-02,4
UK2907,2020-04-07,2020-04-07,1
UK2118,2020-04-11,2020-04-11,1
UK2895,2020-04-03,2020-04-03,1
UK1540,2020-04-13,2020-04-13,1
UK2119,2020-04-09,2020-04-09,1
UK3153,2020-04-13,2020-04-13,1
UK115,2020-04-11,2020-04-11,1
UK2120,2020-04-13,2020-04-13,1
UK4666,2020-04-02,2020-04-02,1
UK46,2020-04-09,2020-04-09,1
UK997,2020-04-04,2020-04-05,2
UK1677,2020-04-13,2020-04-13,1
UK2121,2020-04-14,2020-04-14,1
UK3154,2020-04-09,2020-04-09,1
UK2833,2020-04-03,2020-04-03,2
UK2797,2020-04-10,2020-04-10,1
UK3155,2020-04-07,2020-04-07,1
UK879,2020-04-03,2020-04-07,2
UK2122,2020-04-13,2020-04-13,1
UK2123,2020-04-03,2020-04-03,1
UK3156,2020-04-03,2020-04-03,1
UK3157,2020-04-07,2020-04-07,1
UK1790,2020-04-02,2020-04-02,1
UK3158,2020-04-11,2020-04-11,1
UK2798,2020-04-12,2020-04-12,1
UK2124,2020-04-02,2020-04-02,1
UK631,2020-04-02,2020-04-02,1
UK3159,2020-04-01,2020-04-01,1
UK2125,2020-04-01,2020-04-01,1
UK198,2020-04-03,2020-04-08,2
UK2079,2020-03-31,2020-03-31,1
UK2126,2020-04-10,2020-04-10,1
UK2127,2020-04-12,2020-04-12,1
UK630,2020-03-14,2020-04-06,3
UK1541,2020-04-11,2020-04-11,1
UK1051,2020-04-14,2020-04-14,1
UK3160,2020-04-12,2020-04-12,1
UK2799,2020-04-13,2020-04-13,1
UK2128,2020-04-10,2020-04-10,1
UK605,2020-03-25,2020-04-02,3
UK2129,2020-04-12,2020-04-12,1
UK2130,2020-04-10,2020-04-10,1
UK3161,2020-04-03,2020-04-03,1
UK1666,2020-04-10,2020-04-10,1
UK3162,2020-04-16,2020-04-16,1
UK4527,2020-04-07,2020-04-07,1
UK710,2020-04-02,2020-04-02,1
UK3225,2020-04-02,2020-04-02,1
UK804,2020-04-12,2020-04-12,1
UK2141,2020-04-01,2020-04-01,1
UK3226,2020-04-07,2020-04-07,1
UK63,2020-04-03,2020-04-12,2
UK1678,2020-04-10,2020-04-10,1
UK2897,2020-04-09,2020-04-09,1
UK1054,2020-04-10,2020-04-10,1
UK2142,2020-04-02,2020-04-02,1
UK2143,2020-04-09,2020-04-09,1
UK2144,2020-04-10,2020-04-10,1
UK2145,2020-04-01,2020-04-01,1
UK2836,2020-04-12,2020-04-12,1
UK11,2020-04-02,2020-04-03,3
UK2146,2020-04-12,2020-04-12,1
UK2147,2020-04-10,2020-04-10,1
UK40,2020-04-06,2020-04-11,2
UK1845,2020-04-01,2020-04-11,2
UK1554,2020-04-03,2020-04-03,1
UK5488,2020-04-01,2020-04-01,1
UK5704,2020-04-08,2020-04-08,1
UK388,2020-04-11,2020-04-11,1
UK2899,2020-04-11,2020-04-11,1
UK3227,2020-04-04,2020-04-04,1
UK5489,2020-04-08,2020-04-08,1
UK2148,2020-04-12,2020-04-12,1
UK2149,2020-04-02,2020-04-02,1
