Name,oldest_sequence,newest_sequence,number_taxa
UK82,2020-03-25,2020-05-06,21
UK4297,2020-03-26,2020-05-08,5
UK36,2020-03-20,2020-05-11,121
UK39,2020-03-12,2020-05-10,62
UK3264,2020-05-07,2020-05-07,1
UK52,2020-03-16,2020-05-12,154
UK563,2020-05-12,2020-05-12,1
UK88,2020-03-22,2020-05-12,30
UK73,2020-04-01,2020-05-10,10
UK100,2020-04-11,2020-05-12,9
UK3432,2020-04-07,2020-05-10,5
UK147,2020-05-08,2020-05-08,1
UK5098,2020-03-21,2020-05-09,31
UK5668,2020-03-13,2020-05-09,16
UK2048,2020-05-11,2020-05-11,1
UK40,2020-03-13,2020-05-12,94
UK1174,2020-05-13,2020-05-13,1
UK163,2020-04-20,2020-05-03,5
UK2464,2020-03-19,2020-05-06,34
UK219,2020-04-25,2020-05-01,3
UK5669,2020-03-24,2020-05-07,15
UK2557,2020-03-22,2020-05-08,5
UK271,2020-04-15,2020-04-26,7
UK5,2020-03-13,2020-05-03,30
UK42,2020-04-22,2020-05-07,3
UK93,2020-03-21,2020-05-06,5
UK281,2020-04-22,2020-05-07,2
UK1074,2020-04-22,2020-05-07,2
UK38,2020-03-16,2020-05-01,6
UK5352,2020-04-22,2020-04-27,6
UK5512,2020-04-26,2020-04-26,1
UK699,2020-04-16,2020-04-24,4
UK2200,2020-03-28,2020-05-04,11
UK2735,2020-04-08,2020-04-11,2
UK264,2020-03-29,2020-04-22,11
UK494,2020-04-11,2020-04-11,1
UK1882,2020-04-22,2020-04-22,1
UK370,2020-04-08,2020-04-27,13
UK828,2020-04-15,2020-04-15,1
UK1883,2020-04-15,2020-04-15,1
UK87,2020-03-13,2020-04-20,20
UK304,2020-04-16,2020-04-26,4
UK187,2020-04-04,2020-04-24,3
UK459,2020-04-12,2020-04-27,4
UK1258,2020-04-03,2020-04-03,1
UK2014,2020-04-11,2020-04-24,4
UK120,2020-04-08,2020-04-16,2
UK679,2020-04-03,2020-04-12,2
UK2775,2020-04-11,2020-04-11,1
UK397,2020-04-02,2020-04-07,2
UK109,2020-04-22,2020-04-26,2
UK198,2020-03-18,2020-04-15,6
UK940,2020-04-11,2020-04-11,1
UK95,2020-04-13,2020-04-13,1
UK81,2020-04-12,2020-04-12,1
UK3112,2020-04-07,2020-04-07,1
UK231,2020-04-11,2020-04-11,1
UK43,2020-03-23,2020-04-26,12
UK1605,2020-04-27,2020-04-27,1
UK66,2020-04-15,2020-04-26,2
UK282,2020-03-30,2020-04-22,5
UK191,2020-04-17,2020-04-27,2
UK286,2020-04-05,2020-04-28,2
UK5499,2020-04-21,2020-04-21,1
UK175,2020-03-26,2020-04-12,2
UK1687,2020-04-20,2020-04-20,1
UK14,2020-03-14,2020-04-08,16
UK2908,2020-04-13,2020-04-13,1
UK261,2020-03-15,2020-04-08,12
